Midland Bank, Ltd.	/ˈmɪdlənd bæŋk, ˈlɪmɪtɪd/	米兰银行(米特兰银行)
British Council for the Promotion of International Trade	/ˈbrɪtɪʃ ˈkaʊnsəl fɔːr ðə prəˈmoʊʃən əv ˌɪntərˈnæʃənəl treɪd/	英国国际贸易促进委员会
International Chamber of Commerce	/ˌɪntərˈnæʃənəl ˈtʃeɪmbər əv ˈkɒmɜːrs/	国际商会
International Union of Marine Insurance	/ˌɪntərˈnæʃənəl ˈjuːnjən əv məˈriːn ɪnˈʃʊərəns/	国际海洋运输保险协会
International Alumina Association	/ˌɪntərˈnæʃənəl əˈluːmɪnə əˌsoʊsiˈeɪʃən/	国际铝矾土协会
Universal Postal Union, UPU	/ˌjuːnɪˈvɜːrsəl ˈpoʊstəl ˈjuːnjən, ju-pi-ju/	万国邮政联盟
Customs Co-operation Council, CCC	/ˈkʌstəmz koʊ-ˌɒpəˈreɪʃən ˈkaʊnsəl, si-si-si/	关税合作理事会
United Nations Trade and Development Board	/juˈnaɪtɪd ˈneɪʃənz treɪd ənd dɪˈvɛləpmənt bɔːrd/	联合国贸易与发展理事会
Organization for Economic cooperation and Development, OECD	/ˌɔːrɡənɪˈzeɪʃən fɔːr ˌiːkəˈnɒmɪk koʊˌɒpəˈreɪʃən ənd dɪˈvɛləpmənt, oʊ-i-si-di/	经济合作与开发组织
European Economic Community, EEC, European Common Market	/ˌjʊərəˈpiːən ˌiːkəˈnɒmɪk kəˈmjuːnɪti, i-i-si, ˌjʊərəˈpiːən ˈkɒmən ˈmɑːrkɪt/	欧洲经济共同体
European Free Trade Association, EFTA	/ˌjʊərəˈpiːən friː treɪd əˌsoʊsiˈeɪʃən, ˈɛftə/	欧洲自由贸易联盟
European Free Trade Area, EFTA	/ˌjʊərəˈpiːən friː treɪd ˈɛəriə, ˈɛftə/	欧洲自由贸易区
Council for Mutual Economic Aid, CMEA	/ˈkaʊnsəl fɔːr ˈmjuːtʃuəl ˌiːkəˈnɒmɪk eɪd, si-ɛm-i-eɪ/	经济互助委员会
Eurogroup	/ˈjʊəroʊˌɡruːp/	欧洲集团
Group of Ten	/ɡruːp əv tɛn/	十国集团
Committee of Twenty(Paris Club)	/kəˈmɪti əv ˈtwɛnti (ˈpærɪs klʌb)/	二十国委员会
Coordinating Committee, COCOM	/koʊˈɔːrdɪneɪtɪŋ kəˈmɪti, ˈkoʊkɒm/	巴黎统筹委员会
Caribbean Common Market, CCM, Caribbean Free-Trade Association, CARIFTA	/ˌkærɪˈbiːən ˈkɒmən ˈmɑːrkɪt, si-si-ɛm, ˌkærɪˈbiːən friː-treɪd əˌsoʊsiˈeɪʃən, kəˈrɪftə/	加勒比共同市场 (加勒比自由贸易同盟)
Andeans Common Market, ACM, Andeans Treaty Organization, ATO	/ænˈdiːənz ˈkɒmən ˈmɑːrkɪt, eɪ-si-ɛm, ænˈdiːənz ˈtriːti ˌɔːrɡənɪˈzeɪʃən, eɪ-ti-oʊ/	安第斯共同市场
Latin American Free Trade Association, LAFTA	/ˈlætɪn əˈmɛrɪkən friː treɪd əˌsoʊsiˈeɪʃən, ˈlæftə/	拉丁美洲自由贸易联盟
Central American Common Market, CACM	/ˈsɛntrəl əˈmɛrɪkən ˈkɒmən ˈmɑːrkɪt, si-eɪ-si-ɛm/	中美洲共同市场
African and Malagasy Common Organization, OCAM	/ˈæfrɪkən ənd ˌmæləˈɡæsi ˈkɒmən ˌɔːrɡənɪˈzeɪʃən, ˈoʊkæm/	非洲与马尔加什共同组织
East African Common Market, EACM	/iːst ˈæfrɪkən ˈkɒmən ˈmɑːrkɪt, i-eɪ-si-ɛm/	东非共同市场
Central African Customs and Economic Union, CEUCA	/ˈsɛntrəl ˈæfrɪkən ˈkʌstəmz ənd ˌiːkəˈnɒmɪk ˈjuːnjən, si-i-ju-si-eɪ/	中非关税经济同盟
West African Economic Community, WAEC	/wɛst ˈæfrɪkən ˌiːkəˈnɒmɪk kəˈmjuːnɪti, ˈweɪɛk/	西非经济共同体
Organization of the Petroleum Exporting Countries, OPEC	/ˌɔːrɡənɪˈzeɪʃən əv ðə pəˈtroʊliəm ɪkˈspɔːrtɪŋ ˈkʌntriz, ˈoʊpɛk/	石油输出国组织
Organization of Arab Petroleum Exporting Countries, OAPEC	/ˌɔːrɡənɪˈzeɪʃən əv ˈærəb pəˈtroʊliəm ɪkˈspɔːrtɪŋ ˈkʌntriz, ˈoʊeɪpɛk/	阿拉伯石油输出国组织
Commonwealth Preference Area	/ˈkɒmənwɛlθ ˈprɛfərəns ˈɛəriə/	英联邦特惠区
Centre National du Commerce Exterieur, National Center of External Trade	/sɑ̃trə nasyɔˈnal dy kɔˈmɛrs ɛksteˈrjœr, ˈnæʃənəl ˈsɛntər əv ɪkˈstɜːrnəl treɪd/	法国对外贸易中心
People's Bank of China	/ˈpiːpəlz bæŋk əv ˈtʃaɪnə/	中国人民银行
Bank of China	/bæŋk əv ˈtʃaɪnə/	中国银行
International Bank for Reconstruction and development, IBRD	/ˌɪntərˈnæʃənəl bæŋk fɔːr ˌriːkənˈstrʌkʃən ənd dɪˈvɛləpmənt, aɪ-bi-ɑːr-di/	国际复兴开发银行
World Bank	/wɜːrld bæŋk/	世界银行
International Development association, IDA	/ˌɪntərˈnæʃənəl dɪˈvɛləpmənt əˌsoʊsiˈeɪʃən, aɪ-di-eɪ/	国际开发协会
International Monetary Fund Agreement	/ˌɪntərˈnæʃənəl ˈmʌnɪtəri fʌnd əˈɡriːmənt/	国际货币基金协定
International Monetary Fund, IMF	/ˌɪntərˈnæʃənəl ˈmʌnɪtəri fʌnd, aɪ-ɛm-ɛf/	国际货币基金组织
European Economic and Monetary Union	/ˌjʊərəˈpiːən ˌiːkəˈnɒmɪk ənd ˈmʌnɪtəri ˈjuːnjən/	欧洲经济与货币同盟
European Monetary Cooperation Fund	/ˌjʊərəˈpiːən ˈmʌnɪtəri koʊˌɒpəˈreɪʃən fʌnd/	欧洲货币合作基金
Bank for International Settlements, BIS	/bæŋk fɔːr ˌɪntərˈnæʃənəl ˈsɛtəlmənts, bi-aɪ-ɛs/	国际结算银行
African Development Bank, AFDB	/ˈæfrɪkən dɪˈvɛləpmənt bæŋk, eɪ-ɛf-di-bi/	非洲开发银行
Export-Import Bank of Washington	/ˈɛkspɔːrt-ˈɪmpɔːrt bæŋk əv ˈwɒʃɪŋtən/	美国进出口银行
National city Bank of New York	/ˈnæʃənəl ˈsɪti bæŋk əv njuː jɔːrk/	花旗银行
American Oriental Banking Corporation	/əˈmɛrɪkən ˌɔːriˈɛntəl ˈbæŋkɪŋ ˌkɔːrpəˈreɪʃən/	美丰银行
American Express Co. Inc.	/əˈmɛrɪkən ɪkˈsprɛs koʊ. ɪŋk./	美国万国宝通银行 (美国运通)
The Chase Bank	/ðə tʃeɪs bæŋk/	大通银行
Inter-American Development Bank, IDB	/ˌɪntər əˈmɛrɪkən dɪˈvɛləpmənt bæŋk, aɪ-di-bi/	泛美开发银行
European Investment Bank, EIB	/ˌjʊərəˈpiːən ɪnˈvɛstmənt bæŋk, i-aɪ-bi/	欧洲投资银行
